city,district,name,score,comment_number,month_sales_clean,avg_price_rmb,category1,delivery_time_clean,delivery_type_1,in_time_delivery_percent,min_price_rmb,shipping_fee_clean,lat,lng,Day_Time,Night_Time,Mid_Night_Time,recommend_Bin,district population in (10 thousands),population density (people/square kilometer),Rent,Female,Male,18 and below,19-24,25-34,35-44,45-54,55 and above,50 yuan and below,50-100 yuan,100-300 yuan,300 yuan,Shopping,Catering Service,Car Service,Leisure,Other,Medicare,Education,Beauty
Beijing,Chaoyang District,Fapai 1855 (Yaojiayuan Store),5,25,17,119,SweetCake,50, MeituanRun ,0,30,6,39.950132,116.516005,1,1,0,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Chaoyang District,Guyugong Tea • Hand-held Cake • Snacks (Beijing Flagship Store),4.9,2861,2824,17,Foods,36,MeituanFlash,80,16,0,39.993976,116.424895,1,1,0,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Dongcheng District,Spicy Worry-Free Spicy Pot (Ciqikou Store),4.8,2223,1771,21,Foods,31,MeituanFlash,58,20,2,39.892838,116.421058,1,1,0,0,70.9,16937,362.8,0.506,0.494,0.102,0.119,2.206,0.198,0.162,0.194,0.099,0.68,0.214,0.008,0.256,0.375,0.035,0.067,0.074,0.193,0,0
Beijing,Xicheng District,Le Huo Four Seasons (Xuanwu Store),4.6,978,1469,27,Foods,30,MeituanFlash,78,20,0,39.898422,116.375004,1,1,0,0,110.6,21888,263.1,0.505,0.495,0.101,0.12,0.226,0.201,0.161,0.192,0.098,0.682,0.213,0.007,0.245,0.392,0.034,0.065,0.061,0.203,0,0
Beijing,Haidian District,Zhang Jiyuan Braised Chicken and Rice (No. 14 Huimiyuan Food City Store),4.5,4384,9568,21,Foods,30,MeituanFlash,85,0,2,40.049413,116.310516,1,1,0,1,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Haidian District,Wallace Whole Chicken Burger (Nongda South Road Store),4.6,3151,5974,19,Foods,36,MeituanFlash,74,20,0,40.023314,116.280224,1,1,0,1,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Chaoyang District,Wanjia Good Morning and Breakfast (Hujialou Store),4.5,5790,8565,17,Foods,36,MeituanFlash,80,15,0,39.922826,116.466347,0,1,1,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Haidian District,Wangjing Xiaoyao (Haidian Tiancun Store),4.6,1436,1936,36,Foods,44, MeituanRun ,53,20,0,39.929697,116.246431,1,1,1,0,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Chaoyang District,Fat Chef (Chaoyang Store),4.4,7416,9999,18,Foods,34,MeituanFlash,68,20,0,39.920003,116.443464,1,1,0,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Dongcheng District,Gourmet Meike • Spicy and Hot Pot (Lama Temple Store),4.8,3582,3318,20,Foods,40,MeituanFlash,79,15,0,39.952337,116.419424,1,1,0,0,70.9,16937,362.8,0.506,0.494,0.102,0.119,2.206,0.198,0.162,0.194,0.099,0.68,0.214,0.008,0.256,0.375,0.035,0.067,0.074,0.193,0,0
Beijing,Haidian District,Wife is very mang durian lasagna cake (Beijing store),4.8,5008,5776,37,SweetCake,59, MeituanRun ,20,21,0,39.973105,116.362301,1,1,0,1,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Haidian District,Creative Light Food (A10 Chaofuyuan Food City Store),4.9,2293,3506,30,Foods,40,MeituanFlash,88,20,0,39.947839,116.355678,1,1,0,1,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Chaoyang District,Three meals a day • Home cooking (Ritan Store),4.3,2034,3708,18,Foods,40,MeituanFlash,54,20,0,39.919772,116.443422,1,1,0,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Chaoyang District,Wangjing Barbecue Xiaolao (Sanlitun Store),4.4,559,650,28,Foods,40, MeituanRun ,56,20,0,39.928832,116.457789,1,1,1,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Dongcheng District,Brother Zhang Spicy Mix (Dongzhimen Store),4.9,4666,5454,20,Foods,32,MeituanFlash,83,15,1,39.940212,116.437388,1,1,0,1,70.9,16937,362.8,0.506,0.494,0.102,0.119,2.206,0.198,0.162,0.194,0.099,0.68,0.214,0.008,0.256,0.375,0.035,0.067,0.074,0.193,0,0
Beijing,Shunyi District,Sai Peng Braised Chicken and Spare Pork Rice (No.13 stall-Naojiangchun Food City Store),4.3,470,513,21,Foods,36,MeituanFlash,94,0,0,40.133237,116.651922,1,1,1,0,132.4,1298,128.8,0.497,0.503,0.104,0.123,0.226,0.196,0.165,0.185,0.116,0.696,0.185,0.002,0.257,0.369,0.032,0.064,0.071,0.207,0,0
Beijing,Chaoyang District,Manling Congee Store (Gaobeidian Store),4.8,2860,5820,19,Foods,30,MeituanFlash,90,15,0,39.903586,116.514813,0,1,1,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Chaoyang District,Dawn abalone rice (No. 9 grape canteen gourmet city restaurant),4.9,1669,2877,41,Foods,43, MeituanRun ,45,0,0,39.929996,116.503822,1,1,1,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Haidian District,Xian Shu Yu · Light Food (Xizhimen Store),4.8,3897,6667,25,Foods,43,MeituanFlash,80,15,0,39.94489,116.350759,1,1,0,1,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Shunyi District,Rice bag girl,4.8,1271,3070,24,Foods,48,MeituanFlash,68,20,0,40.136719,116.638931,1,1,0,0,132.4,1298,128.8,0.497,0.503,0.104,0.123,0.226,0.196,0.165,0.185,0.116,0.696,0.185,0.002,0.257,0.369,0.032,0.064,0.071,0.207,0,0
Beijing,Xicheng District,Wanjia Good Morning Pinzhi Breakfast (Jishuitan Store),4.6,1677,3000,16,Foods,33,MeituanFlash,92,15,2,39.942575,116.379767,1,1,1,1,110.6,21888,263.1,0.505,0.495,0.101,0.12,0.226,0.201,0.161,0.192,0.098,0.682,0.213,0.007,0.245,0.392,0.034,0.065,0.061,0.203,0,0
Beijing,Fengtai District,Wangjing Barbecue (Liujiayao Store),4.9,730,1083,29,Foods,32, MeituanRun ,100,0,0,39.860528,116.421418,1,1,1,0,201.9,6602,259.5,0.499,0.501,0.098,0.125,0.226,0.196,0.167,0.188,0.12,0.759,0.116,0.005,0.246,0.363,0.048,0.077,0.09,0.176,0,0
Beijing,Dongcheng District,Yang Mingyu Braised Chicken and Rice (Ciqikou Store),4.8,5831,7760,22,Foods,31,MeituanFlash,86,0,0,39.893021,116.421513,1,1,0,1,70.9,16937,362.8,0.506,0.494,0.102,0.119,2.206,0.198,0.162,0.194,0.099,0.68,0.214,0.008,0.256,0.375,0.035,0.067,0.074,0.193,0,0
Beijing,Dongcheng District,Delicious Cake (Industrial Sports Store),4.9,66,355,105,SweetCake,45, MeituanRun ,0,0,0,39.93413,116.4277,1,1,0,0,70.9,16937,362.8,0.506,0.494,0.102,0.119,2.206,0.198,0.162,0.194,0.099,0.68,0.214,0.008,0.256,0.375,0.035,0.067,0.074,0.193,0,0
Beijing,Chaoyang District,Jibei North Stew Division Herbal Kitchen (Guomao Store),5,185,362,73,DessertDrink,44, MeituanRun ,36,50,7,39.90493,116.459634,1,1,0,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Haidian District,"Linyi Iron Pot Fried Chicken, Dashan Chicken (C5th Grade-Orange Cat Selection Food City)",4.7,1103,3583,43,Foods,50, MeituanRun ,28,20,3,39.960518,116.345939,1,1,0,0,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Haidian District,Drunken love braised chicken rice ribs rice (beef rice),4.9,9791,9999,23,Foods,40,MeituanFlash,72,10,0,39.993077,116.33815,1,1,0,1,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Chaoyang District,Steamed Fresh Hairy Crab Seafood Crayfish (International Trade Store),4.8,1597,2199,73,Foods,60, MeituanRun ,5,0,0,39.902726,116.474736,1,1,1,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Fengtai District,Flower Top Brand Flower Shop • West Station Lizeqiao Shop • Rose • Sunflower • White Flower Basket,4.8,672,566,116,RomanticFLowers,30, MeituanRun ,22,0,0,39.871361,116.322849,0,1,1,0,201.9,6602,259.5,0.499,0.501,0.098,0.125,0.226,0.196,0.167,0.188,0.12,0.759,0.116,0.005,0.246,0.363,0.048,0.077,0.09,0.176,0,0
Beijing,Chaoyang District,Beiping barbecue a long time ago,4.9,2389,1057,27,Foods,29, MeituanRun ,54,25,0,39.922062,116.5531,1,1,0,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
